Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,200.0,7.7232,0.7709,0.6101,6.4463
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,118.0,7.9265,0.778,0.5856,6.5922
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,27.0,8.1876,0.777,0.6033,6.8603
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,32.0,8.1567,0.7771,0.6216,6.8719
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,20.0,8.1917,0.7758,0.6246,6.8978
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,42,185.0,7.7268,0.7761,0.605,6.4605
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,79.0,8.0358,0.781,0.5793,6.749
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,42,95.0,7.8565,0.772,0.6135,6.5662
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,29.0,8.1638,0.7801,0.6371,6.8808
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,42,65.0,8.0665,0.7781,0.6175,6.8055
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,49.0,8.1233,0.7805,0.5886,6.8348
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,49.0,8.196,0.7863,0.5922,6.9251
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,30.0,8.1895,0.7826,0.6225,6.8802
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,31.0,8.1675,0.7828,0.6034,6.8656
